,dropZone,lat,lon,elevation,location,country
204,TAKE OFF Fallschirmsport,52.793331,12.760278,42.0,Fehrbellin,GER
124,Tallard,44.45565949,6.03594124,599.0,Tallard,FRA
226,Tandem Cairns,-17.559401,146.011993,14.0,Mundoo,AUS
82,Thai Sky Adventures,13.14059043,101.0450149,68.0,Pattaya,THA
116,Thalmaessing,49.06426607,11.20835334,577.0,Thalmaessing,GER
114,Turinskaya Sloboda,57.60180137,64.36770558,71.0,Turinskaya Sloboda,RUS
45,Vaduleni,47.06611354,29.09283757,160.0,Vaduleni,MDA
205,Vannes,47.723301,-2.71856,134.0,Vannes,FRA
52,Vatulino,55.66244577,36.13871098,195.0,Vatulino,RUS
94,Vercelli,45.31080338,8.42298925,125.0,Vercelli,ITA
53,Vesivehmaa,61.14644025,25.69403887,153.0,Vesivehmaa,FIN
195,YUU-Skydive Fallschirmsport e.V.,53.994446,9.578611,27.0,Hohenlockstedt,GER
